Condition, Trial, OrderOfGapSeen, Overlap, farLaneGap, nearLaneGap, effectiveFarLaneGap, totalGapSize, AlertSeen, nearOpenTime, nearCloseTime, farOpenTime, farCloseTime, gapCrossed, timePedEnterNearLane, timePedExitNearLane, timePedEnterFarLane, timePedExitFarLane
AR,0,1,6,6,8,6,6,0,333.0559,341.0759,333.0559,339.0704,0,0,0,0,0
AR,0,2,2,4,8,4,10,0,333.0559,341.0759,339.4464,343.4567,0,0,0,0,0
AR,0,3,2,4,5,2,2,0,341.4658,346.4774,339.4464,343.4567,0,0,0,0,0
AR,0,4,3,7,5,7,9,0,341.4658,346.4774,343.8745,350.8782,0,0,0,0,0
AR,0,5,3,7,3,4,4,0,346.8543,349.8756,343.8745,350.8782,0,0,0,0,0
AR,0,6,1,7,6,1,1,0,350.2932,356.2941,343.8745,350.8782,0,0,0,0,0
AR,0,7,3,3,6,3,4,0,350.2932,356.2941,351.2968,354.2891,0,0,0,0,0
AR,0,8,2,5,6,5,9,0,350.2932,356.2941,354.7354,359.7336,0,0,0,0,0
AR,0,9,3,5,7,3,3,0,356.6978,363.7156,354.7354,359.7336,0,0,0,0,0
AR,0,10,4,8,7,8,11,1,356.6978,363.7156,360.108,368.1146,0,0,0,0,0
AR,0,11,4,8,4,4,4,0,364.1469,368.1564,360.108,368.1146,0,0,0,0,0
AR,0,12,4,4,4,4,4,0,368.5316,372.556,368.5461,372.556,0,0,0,0,0
AR,0,13,5,7,5,7,7,1,372.9187,377.9305,372.933,379.9361,0,0,0,0,0
AR,0,14,2,7,7,2,2,0,378.3346,385.3505,372.933,379.9361,0,0,0,0,0
AR,0,15,5,8,7,8,10,1,378.3346,385.3505,380.3535,388.3591,0,0,0,0,0
AR,0,16,3,8,8,3,3,0,385.7972,393.7891,380.3535,388.3591,0,0,0,0,0
AR,0,17,5,6,8,6,9,1,385.7972,393.7891,388.7488,394.7778,0,0,0,0,0
AR,0,18,1,6,3,1,1,0,394.1924,397.2146,388.7488,394.7778,0,0,0,0,0
AR,0,19,2,3,3,3,4,0,394.1924,397.2146,395.1946,398.2164,0,0,0,0,0
AR,0,20,1,3,6,1,1,0,397.6316,403.632,395.1946,398.2164,0,0,0,0,0
AR,0,21,5,5,6,5,6,0,397.6316,403.632,398.6341,403.6468,0,0,0,0,0
AR,0,22,7,8,7,8,8,1,404.036,411.052,404.036,412.0547,1,406.5276,406.834,408.5465,408.5607
AR,1,1,3,3,3,3,3,0,458.5869,461.5949,458.5869,461.5949,0,0,0,0,0
AR,1,2,4,4,8,4,4,0,462.0264,470.0315,462.0264,466.0351,0,0,0,0,0
AR,1,3,4,8,8,8,12,1,462.0264,470.0315,466.4667,474.4718,1,466.8289,467.1489,469.1123,469.1263
AR,2,1,3,3,3,3,3,0,508.2653,511.2707,508.292,511.313,0,0,0,0,0
AR,3,1,3,3,5,3,3,0,560.5451,565.558,560.517,563.5259,0,0,0,0,0
AR,3,2,2,8,5,8,11,0,560.5451,565.558,563.9568,571.9761,0,0,0,0,0
AR,3,3,3,8,3,6,6,0,565.9344,568.955,563.9568,571.9761,0,0,0,0,0
AR,3,4,3,8,7,3,3,0,569.3173,576.334,563.9568,571.9761,0,0,0,0,0
AR,3,5,4,7,7,7,10,1,569.3173,576.334,572.3662,579.3967,1,572.7283,573.0624,574.9006,574.9142
AR,4,1,7,8,7,8,8,1,615.4167,622.4067,615.3465,623.3667,1,618.2855,618.5768,620.4022,620.4155
AR,5,1,4,4,5,4,4,0,659.3719,664.3976,659.414,663.4088,0,0,0,0,0
AR,5,2,1,5,5,5,9,0,659.3719,664.3976,663.813,668.8108,0,0,0,0,0
AR,5,3,4,5,8,4,4,0,664.7869,672.8075,663.813,668.8108,0,0,0,0,0
AR,5,4,4,8,8,8,12,1,664.7869,672.8075,669.2576,677.2484,1,670.2874,670.6352,672.3345,672.3478
AR,6,1,3,5,3,5,5,0,710.3162,713.3246,710.3162,715.3281,0,0,0,0,0
AR,7,1,3,3,8,3,3,0,760.492,768.512,760.492,763.4855,0,0,0,0,0
AR,7,2,5,8,8,8,11,1,760.492,768.512,763.8893,771.8951,1,764.5576,764.8919,766.869,766.8831
AR,8,1,5,5,8,5,5,0,806.2015,814.2065,806.2015,811.2142,0,0,0,0,0
AR,8,2,3,8,8,8,13,0,806.2015,814.2065,811.6317,819.6235,0,0,0,0,0
AR,8,3,5,8,6,5,5,0,814.5829,820.6118,811.6317,819.6235,0,0,0,0,0
AR,8,4,1,3,6,3,8,0,814.5829,820.6118,820.0688,823.0623,0,0,0,0,0
AR,8,5,2,3,4,2,2,0,821.0023,825.0251,820.0688,823.0623,0,0,0,0,0
AR,8,6,2,7,4,7,9,0,821.0023,825.0251,823.4944,830.4829,0,0,0,0,0
AR,8,7,3,7,3,5,5,0,825.4293,828.4503,823.4944,830.4829,0,0,0,0,0
AR,8,8,2,7,7,2,2,0,828.8541,835.8705,823.4944,830.4829,0,0,0,0,0
AR,8,9,4,4,7,4,6,0,828.8541,835.8705,830.9292,834.9231,0,0,0,0,0
AR,8,10,1,6,7,6,12,0,828.8541,835.8705,835.3011,841.3293,0,0,0,0,0
AR,8,11,5,6,5,5,5,0,836.2333,841.2455,835.3011,841.3293,1,838.7662,839.0175,840.6048,840.6189
AR,9,1,6,8,6,8,8,1,876.5554,882.5695,876.5834,884.5743,1,879.4511,879.7714,881.7062,881.7202
AR,10,1,3,3,6,3,3,0,917.7539,923.7547,917.7677,920.7751,0,0,0,0,0
AR,10,2,3,5,6,5,8,0,917.7539,923.7547,921.1927,926.1922,0,0,0,0,0
AR,10,3,2,5,7,2,2,0,924.1729,931.1906,921.1927,926.1922,0,0,0,0,0
AR,10,4,5,7,7,7,9,1,924.1729,931.1906,926.595,933.613,1,927.4866,927.8065,929.6996,929.7137
AR,11,1,5,7,5,7,7,1,967.195,972.1953,967.1664,974.1705,1,969.7169,970.049,971.9437,971.9578
AR,12,1,5,7,5,7,7,1,1007.568,1012.595,1007.568,1014.574,0,0,0,0,0
AR,13,1,3,4,3,4,4,0,1047.695,1050.687,1047.695,1051.691,0,0,0,0,0
AR,13,2,1,4,6,1,1,0,1051.121,1057.133,1047.695,1051.691,0,0,0,0,0
AR,13,3,5,6,6,6,7,1,1051.121,1057.133,1052.109,1058.107,1,1054.308,1054.615,1056.425,1056.439
AR,14,1,8,8,8,8,8,1,1092.206,1100.214,1092.235,1100.256,1,1095.243,1095.59,1097.599,1097.613
AR,15,1,4,5,4,5,5,0,1134.146,1138.154,1134.175,1139.172,0,0,0,0,0
AR,15,2,1,5,5,1,1,0,1138.531,1143.556,1134.175,1139.172,0,0,0,0,0
AR,15,3,4,8,5,8,9,1,1138.531,1143.556,1139.617,1147.614,0,0,0,0,0
AR,16,1,7,8,7,8,8,1,1180.591,1187.61,1180.557,1188.568,1,1183.824,1184.141,1186.078,1186.091
AR,17,1,5,5,7,5,5,0,1222.832,1229.85,1222.889,1227.886,0,0,0,0,0
AR,17,2,2,8,7,8,13,0,1222.832,1229.85,1228.29,1236.308,0,0,0,0,0
AR,17,3,3,8,3,6,6,0,1230.31,1233.286,1228.29,1236.308,0,0,0,0,0
AR,17,4,3,8,6,3,3,0,1233.733,1239.719,1228.29,1236.308,0,0,0,0,0
AR,17,5,3,7,6,7,10,0,1233.733,1239.719,1236.727,1243.771,1,1237.55,1237.853,1239.609,1239.622
AR,18,1,3,7,3,7,7,0,1276.698,1279.705,1276.74,1283.73,0,0,0,0,0
AR,18,2,4,7,8,4,4,0,1280.123,1288.127,1276.74,1283.73,0,0,0,0,0
AR,18,3,4,6,8,6,10,1,1280.123,1288.127,1284.161,1290.189,1,1285.234,1285.595,1287.604,1287.613
AR,19,1,6,6,8,6,6,0,1323.422,1331.428,1323.408,1329.423,1,1326.471,1326.777,1328.476,1328.496
AR,20,1,3,3,8,3,3,0,1364.227,1372.263,1364.227,1367.241,0,0,0,0,0
AR,20,2,5,7,8,7,10,1,1364.227,1372.263,1367.682,1374.684,1,1368.807,1369.156,1370.925,1370.938
